filename,keywords,freesound_id,sound_link,manufacturer,license,title,description,num_downloads,geotag,start_time_s,end_time_s
321771.mp3,"Interior, AMB, Italy, Distant, Speech, Reverb",321771,https://freesound.org/people/Skjor1/sounds/321771/,Skjor1,http://creativecommons.org/publicdomain/zero/1.0/,Interior Ambience + Distant Reverberant Speech 02 [Florence - Italy],Interior Ambience + Distant Reverberant Speech 02 [Florence - Italy],120,,5.2,27.179
451371.mp3,"kids, throaty, crowd, India, distant, traffic, speech, election, rally",451371,https://freesound.org/people/kyles/sounds/451371/,kyles,http://creativecommons.org/publicdomain/zero/1.0/,election rally crowd and speech with distant throaty traffic and kids around mic India.flac,election rally crowd and speech with distant throaty traffic and kids around mic India.flac,122,,120.8,144.984
199414.mp3,"broadcast, speech, radio",199414,https://freesound.org/people/martinimeniscus/sounds/199414/,martinimeniscus,http://creativecommons.org/publicdomain/zero/1.0/,"Old Radio Speech Background, higher FF125.aif",Background noise for an old radio broadcast speech (higher pitched),391,,102.003,130.921
410952.mp3,"loop2017, atmos, dolby, speech, ableton",410952,https://freesound.org/people/lietoofine/sounds/410952/,lietoofine,https://creativecommons.org/licenses/by/4.0/,dolby atmos speech.wav,dolby atmos speech @Loop2017,193,52.479543 13.500279,31.33,54.021
203908.mp3,"dr-40, project, speech, student, italian, reciting",203908,https://freesound.org/people/s9ames/sounds/203908/,s9ames,http://creativecommons.org/licenses/by/3.0/,bologna speech Italian2,"recorded with a tascam dr-40 in a sound studio. Reciting a speech from a concert in bologna Italy, in Italian. The second version, at a slightly slower pace, starting from the middle of the speech.",526,,29.2,45.689
709279.mp3,"market, Felixblume, spanish, hubbub, speech, cars, loudspeaker, hawker, Felix, village, far, crowd, fair, field-recording, voices, Mexico, seller, hawk, Blume",709279,https://freesound.org/people/felix.blume/sounds/709279/,felix.blume,http://creativecommons.org/publicdomain/zero/1.0/,"Seller speech in spanish in loudspeaker at market fair, cars passing and crowd","Seller speech in spanish in loudspeaker at market fair with cars passing far and crowd hubbub 

Sound recorded by a MS setup Schoeps Microphone hypercardio CCM41 &amp; CCM8 
Cooper Sound CS 104 Mixer + Zoom H4n Recorder
MS is encoded in STEREO Left-Right
Sound reference: MX091212-074
Recorded in December 2009 in Mexico",48,,1.618,24.739
203907.mp3,"bologna, translation, speech, english",203907,https://freesound.org/people/s9ames/sounds/203907/,s9ames,http://creativecommons.org/licenses/by/3.0/,bologna speech English,"recorded with a tascam dr-40 in a sound studio, English translation of an Italian speech from a concert in Bologna Italy.",129,,12.603,39.693
39929.mp3,"airplane, report, speech, voice",39929,https://freesound.org/people/dobroide/sounds/39929/,dobroide,https://creativecommons.org/licenses/by/4.0/,20070815.Danish.speech.wav,part of the pilot speech (in Danish) during a flight Copenhagen-Narsarsuaq (Greenland),295,,21.0,43.474
83511.mp3,"music, philosophy, speech, vocoder",83511,https://freesound.org/people/Patrick6410/sounds/83511/,Patrick6410,http://creativecommons.org/licenses/sampling+/1.0/,Music Speech 2 - PLF.aif,A speech I made based off of the lady in the red dress scene from the matrix. Used it with Reason Vocoder to make some pretty cool sounds.,950,,26.0,54.273
144862.mp3,"voiceover, medieval, virtuous, shields-up, voice-over, attack, speech, battle, stand-tall, righteous, war",144862,https://freesound.org/people/tekgnosis/sounds/144862/,tekgnosis,http://creativecommons.org/publicdomain/zero/1.0/,MedievalSpeech.wav,"Small medieval battle speech, as per <a href=""http://www.freesound.org/forum/sample-requests/26229/"" rel=""nofollow"">http://www.freesound.org/forum/sample-requests/26229/</a>",3755,,38.672,56.931
435088.mp3,"woman, dialogues, field-recording, passangers, train, speech, child, railway",435088,https://freesound.org/people/alsounknownasa/sounds/435088/,alsounknownasa,http://creativecommons.org/publicdomain/zero/1.0/,railway stories #003.WAV,Speech of a siberian trains's passengers.,27,,88.2,112.905
435090.mp3,"woman, dialogues, field-recording, passangers, train, speech, child, railway",435090,https://freesound.org/people/alsounknownasa/sounds/435090/,alsounknownasa,http://creativecommons.org/publicdomain/zero/1.0/,railway stories #001.WAV,Speech of a siberian trains's passengers.,25,,46.0,64.631
435097.mp3,"woman, dialogues, field-recording, passangers, talking, train, speech, human, child, railway, voice",435097,https://freesound.org/people/alsounknownasa/sounds/435097/,alsounknownasa,http://creativecommons.org/publicdomain/zero/1.0/,railway stories #012.WAV,Speech of a siberian trains's passengers.,35,,0.0,20.54
